age,sex,date,state,ethnicity,population
10-14,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,11.3
15-19,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,5.9
20-24,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,4.2
25-29,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,6.4
30-34,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,11.4
35-39,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,17.6
40-44,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,9.4
45-49,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,4.5
50-54,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,3.0
55-59,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,2.3
60-64,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,1.4
65-69,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.8
70-74,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.4
75-79,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.2
80-84,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.1
85+,overall_sex,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.1
overall_age,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,53.6
0-4,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,6.7
5-9,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,8.9
10-14,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,5.8
15-19,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,3.1
20-24,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,2.0
25-29,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,2.8
30-34,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,5.0
35-39,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,8.1
40-44,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,4.8
45-49,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,2.3
50-54,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,1.5
55-59,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,1.2
60-64,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.7
65-69,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.4
70-74,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.2
75-79,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.1
80-84,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.0
85+,male,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.0
overall_age,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,55.6
0-4,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,6.2
5-9,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,8.4
10-14,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,5.5
15-19,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,2.8
20-24,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,2.1
25-29,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,3.6
30-34,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,6.4
35-39,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,9.5
40-44,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,4.6
45-49,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,2.2
50-54,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,1.5
55-59,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,1.1
60-64,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.8
65-69,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.4
70-74,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.3
75-79,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.1
80-84,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.1
85+,female,2020-01-01,W.P. Putrajaya,overall_ethnicity,0.0
overall_age,overall_sex,2020-01-01,Johor,bumi_malay,2158.4
